category,location,name,phone
Cell phone store,· ,Balaji Communication - Best Mobile Shop in Mansarovar Jaipur || Mobile Repair Store || Mobile Service center,098290 66066
Cell phone store,"· Shop no 7 near sec 8, Tonk Rd",Miit Mobile Shop sec 8 tonk road pratap nagar sanganer jaipur,096674 24386
Cell phone store,"· 69/337, VT Rd",Balaji Communication,089520 99999
Cell phone store,"· 93, Kalwar Rd, opp. HP Petrol Pump",Modi Mobile Store,096678 78780
Cell phone store,· 302033,Vikas Mobile Shop,093149 69703
Cell phone store,· ,MOBILE PLANET,089590 12233
Cell phone store,"· 33B, 1, Patrakar Colony Main Rd",Shri Shyam Mobile And Accessories,091164 64264
Cell phone store,· ,Aashirwad Communication,099834 09249
Cell phone accessory store,"· Shop No, 458",R.K. Mobiles,090249 09555
Cell phone store,"· SHOP, 11 9, behind Ramada Hotel",Accord - Apple Authorised Reseller Store | Raja Park,098290 49487
Cell phone store,"· Shop No.23, Pandit Ji Ki Thadi, 100 Feet Rd, opp. Hotel Manohar Palace, near Kalwar Road",VK Mobile And Repairing Center,090240 91533
Cell phone store,· Shop number 3 zam zam tower,A.s Zam Zam Mobile,070142 13193
Cell phone store,"· Shop No 3, Balaji Market, Nahari Ka Naka, Shastri Nagar, near Bhagwati Plaza",Sundaram Telecom,0141 230 6868
Cell phone store,"· B, 2",Shree Gopinath Mobile Point,095295 10509
Cell phone store,"· Shop No 27 & 28 ground Floor, Sec 8, Tonk Rd","Cashify Mobile Phone Store | Buy, Sell & Repair in Pratap Nagar Jaipur",080 4680 8841
Cell phone store,"· A-226, Opposite Bhatta Basti Thana, Sanjay Nagar Rd",Star mobile shop,N/A
Cell phone store,"· 43, 4s, Swarn Path",Yuva Communication,098295 56451
Cell phone store,"· Shop No. 126, Barakat Nagar, Barkat Nagar Rd",Nikki Mobile & Repairing Centre,077259 84917
Market,· ,Bapu Bazar_ jaipur,N/A
Cell phone store,· 44/67 Madhyam Marg Kiran Path,SIDDHI VINAYAK COMMUNICATION,077374 75767
Cell phone store,Open ⋅ Closes 10 pm,Radha Raman mobiles,096942 82345
Cell phone store,"· A-2, opp. Rashtrapati maidan",Mobile mall,076658 88880
Cell phone store,· ,iTabStore,099830 32000
Cell phone store,"· 13, Ojha Ji Ka Bhag, Opp. Post Office, Tonk Rd, Gandhi Nagar Mode",Virat Sales,0141 404 0041
Cell phone store,"· Ganga Sagar Complex, 9-10, Kanta Chouraha",Galaxy Mobile Point,098298 10786
Cell phone store,· ,Swadeshi Mobile Point,093144 77776
Cell phone store,· 269,Expert Mobile & Traning Center,093526 75606
Cell phone store,"· Shop no. 53, opp. Jaipur Hospital, Tonk Rd",Ganpati Cellular,090016 85317
Cell phone store,"· Shop No. 10, Mandir, Near, Julelal Marg",Parnani Mobile & Gift Center,088909 18868
Cell phone store,"· 341, Choura Rasta",Vimal Watch Company,N/A
Cell phone store,"· Shop.no:1 Kamla Nehru Nagar, Delhi - Ajmer Expy, near Jodhpur Sweets",Anshu Games Mobile Sell and Service,080582 28800
Cell phone store,"· Shop no 2 (Plot.198), Ram Gali, 1, Panchwati Cir","Poojara Telecom, Raja Park, Jaipur",086198 88176
Cell phone store,"· No 100/80, Kumbha Marg",Samsung Experience Store - Khandelwal Tele Services Pvt Ltd - Pratap Nagar,097843 22033
Cell phone store,"· Shop No. 25, Bajrang Dwar Kalwar Road, Rawan Gate Rd",Mahima Telecom,099282 11611
Cell phone store,"· Shree, Gulab Tower, Plot No 5C, Ajmer Rd",Samsung Experience Store - Krishna Sales - Nirman Nagar AB,0141 402 6176
Cell phone store,"· Shop No Main Market, Gali Number 5, opp. Agarwal abhushanm, 54, Sirsi Rd",Kanha Mobile point,090243 46577
Mobile phone repair shop,· ,Jyoti Mobile Point,095299 02224
Cell phone store,"· Shop No 37 , Super Bazar, Jai Singh Pura Khor",Shubham Mobiles,094142 09132
Cell phone store,"· 37, Super Market, Jaisinghpura Khor Road, By pass Road",Pooja Mobiles,078913 96951
Cell phone store,· “22”,Hum Tum Mobile Shop,099296 88932
Novelty store,"· WRJH+P8C, Old Amer Rd",V.R. Collection,089554 16600
Cell phone store,"· Shop No. K-2, Addon Bazzar",Singh Mobile Accessories,088752 22212
Shopping mall,· ,Crystal Court Mall,N/A
Cell phone store,"· B(SH)-13, GANPATI PLAZA, Mirza Ismail Rd",Jangu Mobiles,099500 66337
Cell phone store,"· Shop no.A-21, Basement Ganpati plaza",The Real Communication,077370 01001
Cell phone store,"· Shop 124, 125",Shree Parnami Mobile,093513 37238
Cell phone store,"· Shop No.5,Ground Floor,Gaurav Tower",Mobile Zone,090012 41234
Cell phone store,"· S14, 15, Hawa Sadak Rd, opposite Chabra Road",Indira Switch,097999 99380
Cell phone store,"· Bazar, J-3, GT Rd",Mobilemate,0141 400 4810
Mobile phone repair shop,"· G6 & G7, Ground Floor, Crystal Palm Mall, Godam",Authorised Samsung Service Center - Tejas Mobile Gallery,090247 06399
Electronics store,· ,Reliance Digital,08071 889 581
Shopping mall,· ,Satkar Shopping Centre,N/A
Electronics store,· ,Croma - Wtp Mall,089291 14899
Cell phone store,"· VR44+JP2, near Crystal Court Mall",Devansh Mobile,N/A
Cell phone accessory store,· Crystal Court Mall,Fone decor,N/A
Cell phone store,"· Shop No A 34-35, 36 Basement, GANPATI PLAZA, Mirza Ismail Rd",Sri New S M Communication,098296 15222
Cell phone store,"· Plot number 738, Sector 11, Sector 7 Malviya Nagar Rd",Mister Mobile,095713 92559
Cell phone store,"· GROUND FLOOR, B, 85Rd Number 5",BHAGWATI SALES,089630 33093
Cell phone store,"· S.A 20, Amarapali Circle, Gupta Store, Vaishali Nagar",Mobile Point,098288 60256
Shopping mall,· ,MGF Metropolitan Mall,0141 400 8074
Cell phone store,"· Shop No 5, Choudhary Market, opp. Esi Hospital",GREEN MOBILE,096675 77477
Cell phone store,"· Shop 39, Bhagadiya Bhawan, Shop 39, Subhash Marg, opposite shyam juice",Vijayvargiya Communication,070140 79165
Stationery store,· ,Shivani Stationers,098296 10448
Cell phone store,"· Shop No.51, Sirsi Rd",K K Mobile Point,096025 24091
Cell phone store,"· 11,12, NEW MARKET, Jaisinghpura Rd, near by GRAM PANCHAYAT",Latest Mobile & Electronics,070621 57859
Cell phone store,· ,S.K.MOBILES,097850 17220
Shopping mall,· ,Lifestyle Stores,1800 123 1555
Cell phone store,"· Shop No SP 29, Sector 16 Shopping Centre, Opp Saraswati Apartment Main Kumbha Marg, Pratap Nagar Sanganer Jaipur",Mobicom A Mobile Gallery,080510 96555
Cell phone store,· Hatoj - Kalwar - Jaipur Rd,R S MOBILE ( Apple store)(mi store) md,096725 55576
Cell phone accessory store,"· 3d floor, vivacity mall, Askhay parta",S.M. cover & repairing,077340 12577
Cell phone store,"· Uday Nagar, Plot No.25",Khan Mobile World,098877 07070
Cell phone store,· H No 875 Near Chawal Sweets M D Road,The Mobile Hut,083868 84444
Cell phone store,"· 53 A Ground Floor, GANPATI PLAZA, Mirza Ismail Rd",Realme Experience Store Jaipur,080940 05005
Cell phone store,"· 212 A, Ram Gali Number 1",MOBILE STATION,078774 27231
Cell phone store,· ,Lata Mobile Centre,096800 21747
Cell phone store,"· Plot No. 6, Raghu Kumar Nivas, MI Road, opposite Ganpati Plaza",The Mobile Store,N/A
Cell phone store,· Hatewada Road,Bagra Mobile Point,094134 90336
Cell phone store,"· Shop No, Kardhani Shopping Centre, Kalwar Rd",Siddhi Vinayak Mobile Hub - Best Smartphone Shop in Jaipur | Best Mobile Accessories Shop in Jaipur | Iphone shop Govindpura,083027 19608
Cell phone store,"· GANPATI PLAZA, Mirza Ismail Rd",Rudra Communication,N/A
Cell phone store,"· 2nd Floor, World Trade Park, Shop No E – 6,7, 8","Poojara Telecom, WTP, Jaipur",080940 05098
Cell phone store,· ,New Mobile Shop,0141 403 9286
Cell phone store,"· Niwaru Rd, opp. State Bank of India, opp. jockey store",The Mobile House,095499 09049
Mobile phone repair shop,"· 305 - 307, Mirza Ismail Rd","Tresor Apple Service Centre, MI Road Jaipur",099711 72882
Cell phone store,"· Jodla, Harmada Road no 14, Sikar Rd",Satyam Telecom - Satyam Digital care,098290 07900
Cell phone store,"· Metro Station, S, Ajmer Rd, near Ram Nagrar, opposite airtel office",New Akku Communication,093140 20766
Cell phone store,"· A33, Ganpati plaza basement, Mirza Ismail Rd",Mobile,097857 44000
Cell phone store,"· Shop No. 41,42 shiv nagar near pink city hospital, road no. 1 murlipura jaipur",Shanti Telecom,072298 85556
Cell phone store,"· 69A,Nahari Ka Naka, Power House Rd",Lucky Mobile Point,098295 99610
Cell phone store,· GANPATI PLAZA,A To Z Mobile Solution,098874 29669
Shopping mall,· ,World Trade Park,0141 272 8044
Cell phone store,"· Shop No. 23/24, Sundar Vihar, Bajrang Dwar, Main, Kalwar Rd","Poojara Telecom, Kalwar Road, Jaipur",098295 56005
Cell phone store,"· Mahindra sez road, near Bank of baroda",Om mobile point mahapura Jaipur,080786 45620
Cell phone store,"· Shop No. 67, 61, Ajmer Rd, opposite Metro Piller","Poojara Telecom, Sodala - Jaipur",091161 12622
Cell phone store,"· Shop no. A20, Lower Basement, GANPATI PLAZA, Mirza Ismail Rd",Shree Mobile Wala,098284 53288
Shopping mall,· ,Max,090790 96394
Shopping mall,· ,Saraogi Mansion,N/A
Cell phone store,"· Agrasen Tower, G-1",Alpha Communication Mobile Shop,093515 32297
Cell phone store,"· Mi Home, P No. 156 Jangid Bhawan, Mirza Ismail Rd, opposite Golden Tulip","Mi Home- MI Road, Jaipur",089496 91919
Cell phone store,· ,My Mobile Shopee,081980 71980
Cell phone store,"· Near Police station tonk road, circle",The Mobile Palace,094133 44330
Cell phone store,"· 10-12, Dev Nagar Rd",New Yashika Mobiles,098291 92692
Cell phone accessory store,"· A1/B1, Tonk Rd",Case Corner,N/A
Cell phone store,"· RQ8X+X99, Tonk Rd",Priya Mobile Point,099288 51399
Cell phone store,"· Shop no. 8, 9 kailshpuri, Tonk Rd, near au bank",Mobmitra,089638 93656
Cell phone store,"· SDC Capital Ridge, GS2 Zone 82, Plot No-1, Tonk Rd","Imagine Apple Premium Reseller, Pratap Nagar",082874 82874
Cell phone store,"· Airport Circle, Tonk Rd, near Gogia Petrol pump",Reconnect Communication Mobile store,096941 23454
Electronics store,· ,Great Eastern Trading Co - Tonk Road (Delivery over phone),091161 64408
Cell phone store,"· LG-33 The rise Haldighati market, Tonk Rd, below reliance digital, beside d mart",Data Migrator,078913 13302
Cell phone store,"· Shop No 1, Gandhi Nagar Mode, Tonk Rd, opp. Milestone",Durga Collection,N/A
Cell phone store,"· Sector -3, Pratap Nagar, Sanganer, Tonk Rd, opposite Veer Tejaji Temple",Sparsh Appliances,098290 68010
Cell phone store,"· Shop No. - 11, Manvasharm Colony, Gopalpura Bypass Road, Tonk Road",Navya Mobile & Fancy Store,098280 46506
Cell phone store,· 7,Jaipur mobile haven,N/A
Cell phone store,"· A420, Shivanand Marg, opp. jain mandir","The Hello Brothers Motorola Authorised dealer & apple,samsung,vivo,oppo,realme,mi dealer",092520 20202
Store,"· VQMR+GG8, Barkat Nagar Rd",Chitra Mobile Shop,098282 22066
Cell phone store,"· 946, Jp Phatak Link Rd",Gupta Enterprises,089469 81111
Cell phone store,"· Shop No. 9, Tonk Road",Overseas Communication,086969 09011
Cell phone store,· 36A,Punankit Mobile Point,097844 00996
Cell phone store,"· Ground Floor, Plot No 101, Tonk Rd, opp. Pinjra Pole Gaushala",My Jio Store,090827 11768
Cell phone store,"· SHOP NO:- 39 Amba Guest House, Tonk Rd",BHAVYA MOBILE GALLERY,096023 70424
Cell phone store,· ,"R.M.G Vaishali Nagar, Jaipur",N/A
Cell phone accessory store,"· Haldi ghati Gate, LG-7, below Reliance Trends, The Rise, Tonk Rd, near Dmart",S&V Enterprises,090018 77293
Mobile phone repair shop,"· VQFR+G75, Arjun Nagar Patak",Jay Ambay Mobile Repairing Center,096025 46220
Cell phone store,"· Shop No. A - 4, 80 Feet Rd, near Tempo Stand",THE MOBILE ZONE,N/A
Store,· B-76,Mobile Shop,098874 12090
Cell phone store,"· Main India Gate Near Union Bank ATM Sitapura, Tonk Rd",Aashirwad Communication,085628 02727
Cell phone store,"· Shop No.93, Gali Number 7",The Real Mobile,084419 62922
Cell phone store,"· Shop No 1, Shopping Centre, Rajat Path",Mobile World-Best Mobile Shop,098286 01010
Cell phone store,"· india gate, 14, Tonk Rd",Divya Mobile,078783 59145
Cell phone store,"· VQMV+848, Tonk Fatak Rd",INDIAN MOBILE,096366 66648
Cell phone store,"· 4, Tonk Rd",Agoan Electronics - LG Exclusive Store,074148 86885
Cell phone store,"· 5, Tonk Rd",Ashoka D & G Store,088249 96575
Cell phone store,"· VQHV+9GJ, Gali Number 7",System mobile cavar tempar and Repairingcentre,N/A
Cell phone store,"· Shop no-G-8, Crystal Palm Mall, Near Sahakar Bhavan, Bais Godpwn",The Mobile Store,1860 267 6767
Mobile phone repair shop,· ,vivo & iQOO Authorised Service Center,097839 63702
Electrical & Electronics Stores,"· shop no 25, Tonk Rd",R.n. Mobile Point,096804 01946
Cell phone store,"· Ground Floor, Rathore Tower, No 80/4, Tonk Rd, near Kumbha Marg",Phonewale,070629 19291
Cell phone store,"· VQJW+GX6, Tonk Rd, Opp Laxmi Mandir Cinema",Compact Communication,094147 69698
Cell phone store,"· VQCR+94X, Jp Phatak Link Rd",MOBILE POINT,N/A
Cell phone store,· VQHR+JH9,Bhatia Mobile Point,098879 59818
Cell phone store,"· S39 40 Matoria Plaza, Basement BURGER KING, S-38,39&40, JDA Central Market, Amrapali Marg",POOJARA TELECOM Vaishali Nagar Jaipur,N/A
Cell phone store,"· Tonk Rd, Near India Gate",Aakash Mobile,084400 63550
Cell phone store,"· No 4, Plot No C 10, Lal Kothi Scheme",My Jio Store,090827 10762
Cell phone accessory store,"· K, Tonk Rd",Vikki Mobile Shop,089529 28610
Electronics store,Open ⋅ Closes 7 pm,"Mi Service Center, Tonk Rd, Jaipur, Rajasthan (serviquo)",N/A
Cell phone store,"· VQQR+C3R, Imli Phatak Rd",हादेव मोबाईल,N/A
Cell phone store,"· 103, Moti Doongri Rd",SAWARIYA MOBILE RECHARGE POINT.,N/A
Cell phone store,· 1,Krishna Mobile Shop,078910 34120
Cell phone store,"· VQHV+6PW, Gali No. 17",S.S. Enterprises,N/A
Cell phone store,"· Shop No 23, Tonk Rd, near Sitabadi Colony",Aditya Mobile Repair Centre,N/A
Cell phone store,"· Ground floor, L-9, Chetak Marg, Tonk Rd, near Lic Building",MB ELECTRONICS MOBILE SHOP,090012 56949
Cell phone store,"· VQMR+GJ3, Tonk Fatak Rd",श्री मोबाइल एप्सरीज,N/A
Mobile phone repair shop,"· 160, Dhruv Marg",Shree Raj Communication,098290 12856
Cell phone store,"· RQ8X+XCJ, Tonk Rd",Mobile And Computer,098293 34481
Cell phone store,"· Shop No S-93 Plot No Joshi, 3, Barkat Nagar Rd",Balaji Mobile,098296 10685
Cell phone store,"· Shop No 2 Plot No 1 L Toll Tax Jaipur, Tonk Rd",Sharma Mobile & Stationery,099287 66058
Cell phone store,"· VQ7W+CH4, Gopal pulia, Tonk Rd",Dream Corner,098296 10596
Cell phone store,"· S-56-B, Barket Negar Choraha",S. S.Enterprises,N/A
Cell phone store,"· RR53+CV8, Thok Road, Tonk Road, near Sitapur Road",Shyam Mobile Point,096801 07090
Cell phone store,· 1,AAYYAT MOBILE SHOP,078605 49035
Cell phone store,"· Shop No 1, Main Road, near Bhati Hotel",Hanumant Communication,076118 69889
Cell phone store,"· 17, Shiv Colony",Shiv Shakti Mobile,093529 60262
Auto parts store,· Ashok Mobile,Mobile Shop,082399 47714
Cell phone store,"· VQHV+G46, Barkat Nagar Rd",महादेव TELECOM,N/A
Cell phone store,"· VQ6W+VW4, Gopalpura Bypass Rd",लक्ष्य मोबाइल,N/A
Cell phone store,"· 227/1 puliya, 1, Jawahar Nagar Marg",✅𝗧𝗵𝗲 𝗠𝗼𝗯𝗶𝗹𝗲 𝗪𝗮𝗹𝗮 - Mobile shop Near me |Best Mobile Store |Best Mobile store in Jaipur,078916 50507
Cell phone store,"· Shop NO. 6, Shastri Nagar Rd, near P.N.B. Pittal Factory",Suraj Mobile point,097844 98267
Cell phone accessory store,· Janta Store Cir,Sardar Ji mobile accessories,N/A
